Region,Experience,Name_Experience,Name_Region,Total_Region,Total
2,1,Très satisfaisante,Auvergne-Rhône-Alpes,245089,25596
2,2,Satisfaisante,Auvergne-Rhône-Alpes,245089,37158
2,3,Sans opinion,Auvergne-Rhône-Alpes,245089,33450
2,4,Négative,Auvergne-Rhône-Alpes,245089,100294
2,5,Très négative,Auvergne-Rhône-Alpes,245089,48591
3,1,Très satisfaisante,Bourgogne-Franche-Comté,77740,8124
3,2,Satisfaisante,Bourgogne-Franche-Comté,77740,12092
3,3,Sans opinion,Bourgogne-Franche-Comté,77740,10589
3,4,Négative,Bourgogne-Franche-Comté,77740,31710
3,5,Très négative,Bourgogne-Franche-Comté,77740,15225
4,1,Très satisfaisante,Bretagne,100262,8608
4,2,Satisfaisante,Bretagne,100262,14296
4,3,Sans opinion,Bretagne,100262,12924
4,4,Négative,Bretagne,100262,44152
4,5,Très négative,Bretagne,100262,20282
5,1,Très satisfaisante,Centre-Val de Loire,61794,5697
5,2,Satisfaisante,Centre-Val de Loire,61794,8874
5,3,Sans opinion,Centre-Val de Loire,61794,8004
5,4,Négative,Centre-Val de Loire,61794,26584
5,5,Très négative,Centre-Val de Loire,61794,12635
6,1,Très satisfaisante,Corse,10797,1173
6,2,Satisfaisante,Corse,10797,1368
6,3,Sans opinion,Corse,10797,1373
6,4,Négative,Corse,10797,4114
6,5,Très négative,Corse,10797,2769
7,1,Très satisfaisante,Grand Est,145982,17178
7,2,Satisfaisante,Grand Est,145982,24219
7,3,Sans opinion,Grand Est,145982,20666
7,4,Négative,Grand Est,145982,56934
7,5,Très négative,Grand Est,145982,26985
8,1,Très satisfaisante,Guadeloupe,501,51
8,2,Satisfaisante,Guadeloupe,501,48
8,3,Sans opinion,Guadeloupe,501,66
8,4,Négative,Guadeloupe,501,201
8,5,Très négative,Guadeloupe,501,135
9,1,Très satisfaisante,Guyane,267,29
9,2,Satisfaisante,Guyane,267,29
9,3,Sans opinion,Guyane,267,39
9,4,Négative,Guyane,267,96
9,5,Très négative,Guyane,267,74
10,1,Très satisfaisante,Hauts-de-France,117495,11458
10,2,Satisfaisante,Hauts-de-France,117495,16979
10,3,Sans opinion,Hauts-de-France,117495,16751
10,4,Négative,Hauts-de-France,117495,47479
10,5,Très négative,Hauts-de-France,117495,24828
11,1,Très satisfaisante,Saint Martin,87,8
11,2,Satisfaisante,Saint Martin,87,5
11,3,Sans opinion,Saint Martin,87,9
11,4,Négative,Saint Martin,87,32
11,5,Très négative,Saint Martin,87,33
12,1,Très satisfaisante,Saint-Barthélemy,84,12
12,2,Satisfaisante,Saint-Barthélemy,84,7
12,3,Sans opinion,Saint-Barthélemy,84,11
12,4,Négative,Saint-Barthélemy,84,22
12,5,Très négative,Saint-Barthélemy,84,32
13,1,Très satisfaisante,Île-de-France,355335,39722
13,2,Satisfaisante,Île-de-France,355335,51583
13,3,Sans opinion,Île-de-France,355335,51231
13,4,Négative,Île-de-France,355335,137816
13,5,Très négative,Île-de-France,355335,74983
14,1,Très satisfaisante,La Réunion,2618,212
14,2,Satisfaisante,La Réunion,2618,223
14,3,Sans opinion,La Réunion,2618,232
14,4,Négative,La Réunion,2618,1097
14,5,Très négative,La Réunion,2618,854
15,1,Très satisfaisante,Martinique,375,31
15,2,Satisfaisante,Martinique,375,33
15,3,Sans opinion,Martinique,375,57
15,4,Négative,Martinique,375,148
15,5,Très négative,Martinique,375,106
16,1,Très satisfaisante,Mayotte,225,17
16,2,Satisfaisante,Mayotte,225,19
16,3,Sans opinion,Mayotte,225,17
16,4,Négative,Mayotte,225,86
16,5,Très négative,Mayotte,225,86
17,1,Très satisfaisante,Normandie,73898,7311
17,2,Satisfaisante,Normandie,73898,10952
17,3,Sans opinion,Normandie,73898,10161
17,4,Négative,Normandie,73898,30991
17,5,Très négative,Normandie,73898,14483
18,1,Très satisfaisante,Nouvelle-Aquitaine,166915,15360
18,2,Satisfaisante,Nouvelle-Aquitaine,166915,23694
18,3,Sans opinion,Nouvelle-Aquitaine,166915,20675
18,4,Négative,Nouvelle-Aquitaine,166915,71983
18,5,Très négative,Nouvelle-Aquitaine,166915,35203
19,1,Très satisfaisante,Nouvelle-Calédonie,364,41
19,2,Satisfaisante,Nouvelle-Calédonie,364,49
19,3,Sans opinion,Nouvelle-Calédonie,364,51
19,4,Négative,Nouvelle-Calédonie,364,144
19,5,Très négative,Nouvelle-Calédonie,364,79
20,1,Très satisfaisante,Occitanie,160631,17082
20,2,Satisfaisante,Occitanie,160631,23011
20,3,Sans opinion,Occitanie,160631,19906
20,4,Négative,Occitanie,160631,66440
20,5,Très négative,Occitanie,160631,34192
21,1,Très satisfaisante,Pays de la Loire,91291,7777
21,2,Satisfaisante,Pays de la Loire,91291,13443
21,3,Sans opinion,Pays de la Loire,91291,12606
21,4,Négative,Pays de la Loire,91291,39809
21,5,Très négative,Pays de la Loire,91291,17656
22,1,Très satisfaisante,Polynésie française,228,26
22,2,Satisfaisante,Polynésie française,228,26
22,3,Sans opinion,Polynésie française,228,29
22,4,Négative,Polynésie française,228,81
22,5,Très négative,Polynésie française,228,66
23,1,Très satisfaisante,Provence-Alpes-Côte d'Azur,165889,18699
23,2,Satisfaisante,Provence-Alpes-Côte d'Azur,165889,23240
23,3,Sans opinion,Provence-Alpes-Côte d'Azur,165889,20654
23,4,Négative,Provence-Alpes-Côte d'Azur,165889,67141
23,5,Très négative,Provence-Alpes-Côte d'Azur,165889,36155
24,1,Très satisfaisante,Saint-Pierre-et-Miquelon,214,12
24,2,Satisfaisante,Saint-Pierre-et-Miquelon,214,25
24,3,Sans opinion,Saint-Pierre-et-Miquelon,214,21
24,4,Négative,Saint-Pierre-et-Miquelon,214,90
24,5,Très négative,Saint-Pierre-et-Miquelon,214,66
25,1,Très satisfaisante,Wallis et Futuna,98,17
25,2,Satisfaisante,Wallis et Futuna,98,9
25,3,Sans opinion,Wallis et Futuna,98,10
25,4,Négative,Wallis et Futuna,98,26
25,5,Très négative,Wallis et Futuna,98,36
